PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
4.6	-0.2	0		0	0	80		0.56	-6.44	-0.19		-16	-368	0		-9.33	-310.15	0		-6.67	-57.85	0
4.6	-0.2	0		0	0	80		0.69	-6.62	-0.12		-16	-368	0		-13.98	-317.61	0		-2.02	-50.39	0
4.6	-0.2	0		0	0	80		0.5	-6.12	-0.19		-16	-368	0		-7.31	-295.47	0		-8.69	-72.53	0
4.6	-0.2	0		0	0	100		0.94	-9.06	-0.19		-20	-460	0		-19.16	-434.66	0		-0.84	-25.34	0
4.6	-0.2	0		0	0	100		1	-8.81	-0.25		-20	-460	0		-23.53	-422.65	0		3.53	-37.35	0
4.6	-0.2	0		0	0	100		1	-7.94	-0.31		-20	-460	0		-26.81	-380.77	0		6.81	-79.23	0
4.6	-0.2	0		0	0	120		1.31	-10.88	-0.31		-24	-552	0		-32.77	-520.97	0		8.77	-31.03	0
4.6	-0.2	0		0	0	120		1.25	-10.56	-0.31		-24	-552	0		-30.76	-506.29	0		6.76	-45.71	0
4.6	-0.2	0		0	0	120		1.25	-10.62	-0.25		-24	-552	0		-29.9	-508.69	0		5.9	-43.31	0
4.6	-0.2	0		0	0	140		1.31	-12.56	-0.38		-28	-644	0		-28.41	-603.6	0		0.41	-40.4	0
4.6	-0.2	0		0	0	140		1.19	-11.69	-0.44		-28	-644	0		-25.81	-562.73	0		-2.19	-81.27	0
4.6	-0.2	0		0	0	140		1.56	-12.25	-0.38		-28	-644	0		-41.12	-586.4	0		13.12	-57.6	0
4.1	0.4	0		0	0	20		-0.06	-1.31	-0.06		8	-82	0		6.18	-64.91	0		1.82	-17.09	0
4.1	0.4	0		0	0	20		-0.06	-1.06	-0.06		8	-82	0		5.44	-52.77	0		2.56	-29.23	0
